index,target_paper,ref_href,ref_title,text,CurDBCode,down_link,file_name,uuid,res
0,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=XDJZ201713211&dbcode=CJFQ&dbname=CJFD2017&v=,浅谈我国“借壳上市”存在的问题及对策,"[1]浅谈我国“借壳上市”存在的问题及对策[J]. 敖文雅.  现代经济信息.
         2017(13)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=28kdroGW5oUR2hzVhJ1YTtkbDNmW3N0Y690TyJlNzgkSrYUOVRHTsRjNOtSYQx0bixUUXl3ZHNlSYJWdQp3K6RHWwhXdv1EVvEEavYTSFN3czZVQ6d3RTl1T0BjaTdlUrRXaqRmeGZFZtNUW3tUc0RDarEFT6lFM&tablename=CJFDLAST2017,XDJZ201713211,4d095a0a-2314-11e9-bbf3-186590e0235b,
1,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=CKTX201711023&dbcode=CJFQ&dbname=CJFD2017&v=,物流企业借壳上市的动因剖析——以顺丰控股借壳鼎泰新材为例,"[2]物流企业借壳上市的动因剖析——以顺丰控股借壳鼎泰新材为例[J]. 吕维依,敖慧.  财会通讯.
         2017(11)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=28iRjVEdnZnNIVTblVDbY9kNnhjMvQXdJhEUJNWcsx0dLRENp1mYBhVZLV0SslTZ1ZjeIlmWnt2by1Ue4QXeWZEVzIjdu9WZIhkdtl0dOdWV1MzZDVkMzBFdStGRE1md4kUZ3RTNYR2Y1ZUekVneRBTTPRHMrJ3V&tablename=CJFDLAST2017,CKTX201711023,4d0b6734-2314-11e9-b649-186590e0235b,
2,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=QYGG201707030&dbcode=CJFQ&dbname=CJFD2017&v=,借壳上市中巨额商誉问题研究——以奥瑞德公司为例,"[3]借壳上市中巨额商誉问题研究——以奥瑞德公司为例[J]. 代颖娜.  企业改革与管理.
         2017(07)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=28iRjVEdnZnNIVTblVDbY9kNnhjMvQXdJhEUJNWcsx0dLRENp1mYBhVZLV0SslTZ1ZjeIlmWnt2by1UextkcwF1NxATdMl1a1ZHWlVlQvJDMx4GMLJjMzBFdStGRE1md4kUZ3RTNYR2Y1ZUekVneRBTTPRHMrJ3V&tablename=CJFDLAST2017,QYGG201707030,4d0b68fe-2314-11e9-a182-186590e0235b,
3,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=CKTX201704006&dbcode=CJFQ&dbname=CJFD2017&v=,上市公司壳资源价值影响因素实证研究,"[4]上市公司壳资源价值影响因素实证研究[J]. 段小萍,许珂.  财会通讯.
         2017(04)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=28iRjVEdnZnNIVTblVDbY9kNnhjMvQXdJhEUJNWcsx0dLRENp1mYBhVZLV0SslTZ1ZjeIlmWnt2by1UeylkTCt0ZrJ2Y3UWZDZkcY9idHl2Uy8kY4BFOmlEdStGRE1md4kUZ3RTNYR2Y1ZUekVneRBTTPRHMrJ3V&tablename=CJFDLAST2017,CKTX201704006,4d0b69a6-2314-11e9-9149-186590e0235b,
4,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=FZJJ201702027&dbcode=CJFQ&dbname=CJFD2017&v=,借壳上市法律问题研究——以顺丰快递为视角,"[5]借壳上市法律问题研究——以顺丰快递为视角[J]. 罗浩亮.  法制与经济.
         2017(02)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=28iRjVEdnZnNIVTblVDbY9kNnhjMvQXdJhEUJNWcsx0dLRENp1mYBhVZLV0SslTZ1ZjeIlmWnt2by1UelpncR9kYpBXbyY1Tysma1gVYBdGTy0ESyEzKy1kZv9WRDtCUyZjM6RTNYR2Y1ZUekVneRBTTPRHMrJ3V&tablename=CJFDLAST2017,FZJJ201702027,4d0b6a34-2314-11e9-ba3a-186590e0235b,
5,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=CKYK201704019&dbcode=CJFQ&dbname=CJFD2017&v=,我国企业借壳上市会计处理方法选择探析,"[6]我国企业借壳上市会计处理方法选择探析[J]. 马顺英.  财会月刊.
         2017(04)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=MlVU042VNJFds12d3gDextkUzoHaKdmYrwGOzR2NMdGcrN0NTBVREBlVpB3YalTVPtWNxRlUIZHVU9mQmF0dYNzcPNkTyATWLJ0QG10S1Z1dykjZWJHM6BnballVrkTNrMnRTt0RpVFemBlUSB3NhhFZwsCcCRES&tablename=CJFDLAST2017,CKYK201704019,4d0b6ac0-2314-11e9-92d8-186590e0235b,
6,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=CKYK201504018&dbcode=CJFQ&dbname=CJFD2015&v=,海澜之家借壳上市交易结构及其绩效分析,"[7]海澜之家借壳上市交易结构及其绩效分析[J]. 戴娟萍,魏妍炘.  财会月刊.
         2015(04)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=MlVU042VNJFds12d3gDextkUzoHaKdmYrwGOzR2NMdGcrN0NTBVREBlVpB3YalTVPtWNxRlUIZHVU9mQsB3YKhFSrsWWr8URX5md3I1djljcXF1KxBnQ5pUROhHVrkTNrMnRTt0RpVFemBlUSB3NhhFZwsCcCRES&tablename=CJFDLAST2015,CKYK201504018,4d0b6b42-2314-11e9-93a0-186590e0235b,
7,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=KJZY201427012&dbcode=CJFQ&dbname=CJFD2014&v=,“借壳上市”在中小房地产企业融资中的应用探讨,"[8]“借壳上市”在中小房地产企业融资中的应用探讨[J]. 吴志松.  会计之友.
         2014(27)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=MlVU042VNJFds12d3gDextkUzoHaKdmYrwGOzR2NMdGcrN0NTBVREBlVpB3YalTVPtWNxRlUIZHVU9mQaZ1YyUTRt50L25UbnJ3VplnMzsWQQFUSK50ZNFTeEBVVrkTNrMnRTt0RpVFemBlUSB3NhhFZwsCcCRES&tablename=CJFD2014,KJZY201427012,4d0b6c0a-2314-11e9-8b0e-186590e0235b,
8,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=JLSJ201417045&dbcode=CJFQ&dbname=CJFD2014&v=,海澜之家的逆市增长秘诀,"[9]海澜之家的逆市增长秘诀[J]. 杨志杰.  IT经理世界.
         2014(17)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=MlVU042VNJFds12d3gDextkUzoHaKdmYrwGOzR2NMdGcrN0NTBVREBlVpB3YalTVPtWNxRlUIZHVU9mQDdzKJFUerNjRwY2cxs0VCNnM5onNu50QwJmbEhXeEBVVrkTNrMnRTt0RpVFemBlUSB3NhhFZwsCcCRES&tablename=CJFD2014,JLSJ201417045,4d0b6c98-2314-11e9-9013-186590e0235b,
9,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=JRYJ201405009&dbcode=CJFQ&dbname=CJFD2014&v=,借壳上市、内幕交易与股价异动——基于ST类公司的研究,"[10]借壳上市、内幕交易与股价异动——基于ST类公司的研究[J]. 邵新建,贾中正,赵映雪,江萍,薛熠.  金融研究.
         2014(05)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=MlVU042VNJFds12d3gDextkUzoHaKdmYrwGOzR2NMdGcrN0NTBVREBlVpB3YalTVPtWNxRlUIZHVU9mQzVHaIFEMvUnMqN2Lm9UbF1GT4pEZN9UQxdnUK5EUQhHVrkTNrMnRTt0RpVFemBlUSB3NhhFZwsCcCRES&tablename=CJFDLAST2015,JRYJ201405009,4d0b6d18-2314-11e9-9db6-186590e0235b,
10,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=SJWD00000890085&dbcode=SJWD,"A Review of IPO Activity, Pricing, and Allocations","[1]A Review of IPO Activity, Pricing, and Allocations[J] .   
    Jay R.Ritter,IvoWelch. &nbspThe; Journal of Finance .      
    2002
      (4)
    ",SSJD,http://d.scholar.cnki.net/Link/Url/SJWD_U/SJWD00000890085,SJWD00000890085,4d0b6db8-2314-11e9-a1bd-186590e0235b,https://onlinelibrary.wiley.com/doi/abs/10.1111/1540-6261.00478
11,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=JKJS201403019&dbcode=CJFQ&dbname=CJFD2014&v=,借壳上市所得税与流转税问题研究,"[11]借壳上市所得税与流转税问题研究[J]. 鞠铭.  中国注册会计师.
         2014(03)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=jdUQVJ1cPpHVPNTW6VEb2JUTiNmbSp2ZQtyYzkFbvE3aux2UxgnaIRUMvs0Lp5kbKZXexV0Sp9keupVRnJlR0FTTPFFbUpUNi50UUBlVYJ1Vsp3Q08iUyd3LZ1WWOFTaDJnR3E1RpNXMwY2YJNEZTJmQBFHb19yd&tablename=CJFD2014,JKJS201403019,4d0b6eb0-2314-11e9-a96a-186590e0235b,
12,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=HNJG201303023&dbcode=CJFQ&dbname=CJFD2013&v=,借壳上市的动因及交易模式分析——以大有能源借壳欣网视讯为例,"[12]借壳上市的动因及交易模式分析——以大有能源借壳欣网视讯为例[J]. 孙春甫.  征信.
         2013(03)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=jdUQVJ1cPpHVPNTW6VEb2JUTiNmbSp2ZQtyYzkFbvE3aux2UxgnaIRUMvs0Lp5kbKZXexV0Sp9keupVRktGOSRESj1mNYlTbN5WQpRDNL1GS6x0R152LR9UUm1kbOFTaDJnR3E1RpNXMwY2YJNEZTJmQBFHb19yd&tablename=CJFD2013,HNJG201303023,4d0b6fb6-2314-11e9-9c45-186590e0235b,
13,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=ZQDB201303014&dbcode=CJFQ&dbname=CJFD2013&v=,中、美及香港证券市场借壳上市监管制度比较,"[13]中、美及香港证券市场借壳上市监管制度比较[J]. 马骁,刘力臻.  证券市场导报.
         2013(03)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=jdUQVJ1cPpHVPNTW6VEb2JUTiNmbSp2ZQtyYzkFbvE3aux2UxgnaIRUMvs0Lp5kbKZXexV0Sp9keupVRwdGU38CT11Eerckev8GdSVEMzE0Z4UWNExWVTNVUm1kbOFTaDJnR3E1RpNXMwY2YJNEZTJmQBFHb19yd&tablename=CJFD2013,ZQDB201303014,4d0b716e-2314-11e9-b528-186590e0235b,
14,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=CKYK201303027&dbcode=CJFQ&dbname=CJFD2013&v=,借壳上市的会计和所得税处理——基于S上市公司重组案例,"[14]借壳上市的会计和所得税处理——基于S上市公司重组案例[J]. 郭祥.  财会月刊.
         2013(03)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=XpVOalVTXR2MstUMklXOpdzTkZ0dphUV5kXW1lnQw80dnlFe3F0SK5Ec2QkNRVEVrJkZSB3QCdWbQpESGdmZXB3aUhWMtlFTkRkVhFDcBhENZtka5wEUsljaQZWMvY0a2JDOIJXcxsUU6BHU1J0S0EDOYdkdyMTd&tablename=CJFD2013,CKYK201303027,4d0b7274-2314-11e9-93ed-186590e0235b,
15,绿地集团借壳上市涉税问题研究,/kcms/detail/detail.aspx?filename=CKYK201235026&dbcode=CJFQ&dbname=CJFD2012&v=,嘉凯城借壳上市的经验启示,"[15]嘉凯城借壳上市的经验启示[J]. 戴娟萍.  财会月刊.
         2012(35)
        ",CJFQ,http://kns.cnki.net/kns/download.aspx?filename=XpVOalVTXR2MstUMklXOpdzTkZ0dphUV5kXW1lnQw80dnlFe3F0SK5Ec2QkNRVEVrJkZSB3QCdWbQpES092cIZVa1U3KYdEcCZnSQFEePRXblpmQvQmbCdTaQZWMvY0a2JDOIJXcxsUU6BHU1J0S0EDOYdkdyMTd&tablename=CJFD2012,CKYK201235026,4d0b73c8-2314-11e9-a53c-186590e0235b,
