,0,1
0,0,1
1,陈独秀,张东荪
2,陈独秀,黄日葵
3,陈独秀,陈延年
4,陈独秀,孙中山
5,陈独秀,邹容
6,陈独秀,胡適
7,陈独秀,刘泽荣
8,陈独秀,杨匏安
9,陈独秀,张若名
10,陈独秀,王明
11,陈独秀,苏州
12,陈独秀,何叔衡
13,陈独秀,俞秀松
14,陈独秀,杨东莼
15,陈独秀,朱蘊山
16,陈独秀,江津
17,陈独秀,高血压
18,陈独秀,胡汉民
19,陈独秀,罗章龙
20,陈独秀,俞颂华
21,陈独秀,张全景
22,陈独秀,李梅羹
23,陈独秀,包惠僧
24,陈独秀,蒋介石
25,陈独秀,王尽美
26,陈独秀,谭平山
27,陈独秀,李树彝
28,陈独秀,张西曼
29,陈独秀,赵世炎
30,陈独秀,邵力子
31,陈独秀,金立
32,陈独秀,尹宽
33,陈独秀,都督
34,陈独秀,朱执信
35,陈独秀,胡适
36,陈独秀,张国焘
37,陈独秀,陈云
38,陈独秀,胡耀邦
39,陈独秀,李大钊
40,陈独秀,李立三
41,陈独秀,李竹声
42,陈独秀,陈公博
43,陈独秀,赵乐际
44,陈独秀,李励庄
45,陈独秀,国民党
46,陈独秀,张伯简
47,陈独秀,陈炯明
48,陈独秀,周恩来
49,陈独秀,成舍我
50,陈独秀,周佛海
51,陈独秀,孔子
52,陈独秀,法文
53,陈独秀,李源潮
54,陈独秀,陈潭秋
55,陈独秀,阮啸仙
56,陈独秀,任弼时
57,陈独秀,法西斯
58,陈独秀,宋平
59,陈独秀,乔石
60,陈独秀,杜国庠
61,陈独秀,姚作賓
62,陈独秀,沈定一
63,陈独秀,鲁迅
64,陈独秀,罗亦农
65,陈独秀,陈望道
66,陈独秀,江泽民
67,陈独秀,鲍罗廷
68,陈独秀,李汉俊
69,陈独秀,王乐平
70,陈独秀,袁振英
71,陈独秀,陈公培
72,陈独秀,张太雷
73,陈独秀,陈野苹
74,陈独秀,邓小平
75,陈独秀,易礼容
76,陈独秀,彭湃
77,陈独秀,赵紫阳
78,陈独秀,傅斯年
79,陈独秀,汪精卫
80,陈独秀,吴廷康
81,陈独秀,王会悟
82,陈独秀,黄介民
83,陈独秀,何殷震
84,陈独秀,法国
85,陈独秀,鲁易
86,陈独秀,习近平
87,陈独秀,瞿秋白
88,陈独秀,武汉
89,陈独秀,宋任穷
90,陈独秀,广州
91,陈独秀,华国锋
92,陈独秀,尉健行
93,陈独秀,白崇禧
94,陈独秀,西欧
95,陈独秀,蔡元培
96,陈独秀,刘仁静
97,陈独秀,李启汉
98,陈独秀,陈乔年
99,陈独秀,苏联
100,陈独秀,林修梅
101,陈独秀,李书城
102,陈独秀,山东
103,陈独秀,张申府
104,陈独秀,袁世凱
105,陈独秀,蔡爾康
106,陈独秀,李震瀛
107,陈独秀,梁启超
108,陈独秀,饶漱石
109,陈独秀,柯庆施
110,陈独秀,罗素
111,陈独秀,项英
112,陈独秀,李声韵
113,陈独秀,南京
114,陈独秀,张闻天
115,陈独秀,李维汉
116,陈独秀,郭玉峰
117,陈独秀,李大釗
118,陈独秀,刘峙
119,陈独秀,吴佩孚
120,陈独秀,安子文
121,陈独秀,邓恩铭
122,陈独秀,孔原
123,陈独秀,金家凤
124,陈独秀,曾庆红
125,陈独秀,陈豹隐
126,陈独秀,杨明斋
127,陈独秀,谭植棠
128,陈独秀,柯柏年
129,陈独秀,康生
130,陈独秀,薛岳
131,陈独秀,陆军
132,陈独秀,茅盾
133,陈独秀,施存统
134,陈独秀,戴季陶
135,陈独秀,柏文蔚
136,陈独秀,邵飘萍
137,陈独秀,高一涵
138,陈独秀,胡锦涛
139,陈独秀,陈希
140,陈独秀,沈泽民
141,陈独秀,光绪
142,陈独秀,王光祈
143,陈独秀,彭述之
144,陈独秀,薛文淑
145,陈独秀,贺国强
146,陈独秀,江亢虎
147,陈独秀,毛泽东
148,陈独秀,程子卿
149,陈独秀,张民权
150,陈独秀,董必武
151,陈独秀,吕枫
152,陈独秀,高語罕
153,陈独秀,井勿幕
154,陈独秀,彭真
155,陈独秀,章士钊
156,陈独秀,向忠发
157,陈独秀,上海
158,陈独秀,马君武
159,陈独秀,杭州
160,陈独秀,白话文
161,陈独秀,郑超麟
162,陈独秀,邓中夏
163,陈独秀,五经
164,张东荪,徐特立
165,张东荪,罗荣桓
166,张东荪,章伯钧
167,张东荪,柳亚子
168,张东荪,张之杲
169,张东荪,李锡九
170,张东荪,张奚若
171,张东荪,吴江
172,张东荪,李济深
173,张东荪,李烛尘
174,张东荪,龙云
175,张东荪,张宗烨
176,张东荪,昌黎
177,张东荪,张云逸
178,张东荪,万全
179,张东荪,张尔田
180,张东荪,黄炎培
181,张东荪,贺龙
182,张东荪,彭德怀
183,张东荪,张难先
184,张东荪,蔡畅
185,张东荪,陈铭枢
186,张东荪,程潜
187,张东荪,陈嘉庚
188,张东荪,习仲勋
189,张东荪,吴玉章
190,张东荪,林枫
191,张东荪,袁世凯
192,张东荪,张澜
